Component,Churn,Browser
gfx,22782942,Firefox
application,19837359,Chrome
content,18049167,Firefox
media,17698869,Firefox
webstore (web-platform),16359004,Firefox
net,14217829,Chrome
layout,11617586,Firefox
dom,11011052,Firefox
tools,10893024,Chrome
content,8235581,Chrome
extensions,7533161,Firefox
android,7431396,Chrome
extensions,7248942,Chrome
ui,6988264,Chrome
media,5585821,Chrome
css,5221316,Firefox
views,5163193,Chrome
tools,4429568,Firefox
android,4042464,Firefox
gpu,3992052,Chrome
sync,3546907,Chrome
widget,3540743,Firefox
parser,3411139,Firefox
cck,3249438,Chrome
ipc,2853145,Firefox
autofill,2642941,Chrome
wenrunner (webtools),2274616,Firefox
remote,2261669,Chrome
plugin,2061937,Chrome
plugin,1815893,Firefox
gpu,1559773,Firefox
infrastructure,1485849,Chrome
gfx,1334269,Chrome
services,1323022,Chrome
layout,1286501,Chrome
themes,1085082,Firefox
profile,1039333,Firefox
password,1013126,Chrome
download,967547,Chrome
net,953166,Firefox
sync,890077,Firefox
dom,884591,Chrome
services,801359,Firefox
api,799361,Firefox
css,700227,Chrome
shell,690263,Chrome
autocomplete,669618,Chrome
search,663498,Chrome
url,656089,Chrome
preferences,654115,Firefox
cache,636305,Firefox
os,622773,Firefox
search,579096,Firefox
bookmarks,527877,Chrome
remote,524413,Firefox
printing,498760,Chrome
storage,496156,Firefox
profile,490161,Chrome
widget,469995,Chrome
notification,469950,Chrome
performance,458874,Firefox
toolbar,452577,Chrome
password,449371,Firefox
mobile,430063,Firefox
ipc,416478,Chrome
ui,356216,Firefox
bookmarks,298405,Firefox
url,270965,Firefox
autofill,254973,Firefox
dns,253513,Firefox
weblayer (webservice),227624,Chrome
performance,207388,Chrome
desktop,199980,Firefox
api,198211,Chrome
shell,190607,Firefox
cck,189707,Firefox
storage,176553,Chrome
permission,176534,Chrome
dns,176253,Chrome
desktop,168239,Chrome
keyboard,165704,Chrome
preferences,158599,Chrome
weblayer (webservice),144907,Firefox
views,125840,Firefox
webapps,119071,Chrome
os,113636,Chrome
cookies,112834,Chrome
enterprise,104968,Chrome
webapps,104243,Firefox
privacy,101087,Chrome
printing,83804,Firefox
application,65846,Firefox
notification,60165,Firefox
enterprise,59306,Firefox
themes,58795,Chrome
permission,55729,Firefox
autocomplete,53314,Firefox
cache,51750,Chrome
reporting,44049,Firefox
reporting,43331,Chrome
cookies,40871,Firefox
wenrunner (webtools),36526,Chrome
infrastructure,33524,Firefox
toolbar,29757,Firefox
parser,28823,Chrome
download,21390,Firefox
webstore (web-platform),19530,Chrome
keyboard,10335,Firefox
mobile,8290,Chrome
privacy,5969,Firefox